problem opt_cost calc_cost
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2788
gr21.tsp 2707 2707
gr21.tsp 2707 2803
gr21.tsp 2707 2803
gr21.tsp 2707 2954
gr21.tsp 2707 2782
gr21.tsp 2707 2998
gr21.tsp 2707 2803
gr21.tsp 2707 2803
gr21.tsp 2707 2803
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2707
gr21.tsp 2707 2803
ulysses22.tsp 7013 7092
ulysses22.tsp 7013 7163
ulysses22.tsp 7013 7163
ulysses22.tsp 7013 7195
ulysses22.tsp 7013 7312
ulysses22.tsp 7013 7201
ulysses22.tsp 7013 7092
ulysses22.tsp 7013 7163
ulysses22.tsp 7013 7100
ulysses22.tsp 7013 7114
ulysses22.tsp 7013 7091
ulysses22.tsp 7013 7139
ulysses22.tsp 7013 7128
ulysses22.tsp 7013 7116
ulysses22.tsp 7013 7209
ulysses22.tsp 7013 7251
ulysses22.tsp 7013 7105
ulysses22.tsp 7013 7036
ulysses22.tsp 7013 7120
ulysses22.tsp 7013 7083
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7105
ulysses22.tsp 7013 7123
ulysses22.tsp 7013 7195
ulysses22.tsp 7013 7150
ulysses22.tsp 7013 7085
ulysses22.tsp 7013 7151
ulysses22.tsp 7013 7105
ulysses22.tsp 7013 7150
ulysses22.tsp 7013 7100
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7350
ulysses22.tsp 7013 7163
ulysses22.tsp 7013 7325
ulysses22.tsp 7013 7116
ulysses22.tsp 7013 7172
ulysses22.tsp 7013 7219
ulysses22.tsp 7013 7087
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7083
ulysses22.tsp 7013 7195
ulysses22.tsp 7013 7039
ulysses22.tsp 7013 7286
ulysses22.tsp 7013 7100
ulysses22.tsp 7013 7123
ulysses22.tsp 7013 7294
ulysses22.tsp 7013 7013
ulysses22.tsp 7013 7230
ulysses22.tsp 7013 7114
gr24.tsp 1272 1298
gr24.tsp 1272 1389
gr24.tsp 1272 1304
gr24.tsp 1272 1304
gr24.tsp 1272 1368
gr24.tsp 1272 1335
gr24.tsp 1272 1304
gr24.tsp 1272 1336
gr24.tsp 1272 1345
gr24.tsp 1272 1372
gr24.tsp 1272 1417
gr24.tsp 1272 1289
gr24.tsp 1272 1310
gr24.tsp 1272 1305
gr24.tsp 1272 1343
gr24.tsp 1272 1343
gr24.tsp 1272 1373
gr24.tsp 1272 1297
gr24.tsp 1272 1328
gr24.tsp 1272 1864
gr24.tsp 1272 1289
gr24.tsp 1272 1319
gr24.tsp 1272 1314
gr24.tsp 1272 1808
gr24.tsp 1272 1377
gr24.tsp 1272 1289
gr24.tsp 1272 1278
gr24.tsp 1272 1279
gr24.tsp 1272 1323
gr24.tsp 1272 1326
gr24.tsp 1272 1369
gr24.tsp 1272 1423
gr24.tsp 1272 1326
gr24.tsp 1272 1317
gr24.tsp 1272 1400
gr24.tsp 1272 1435
gr24.tsp 1272 1289
gr24.tsp 1272 1329
gr24.tsp 1272 1367
gr24.tsp 1272 1324
gr24.tsp 1272 1386
gr24.tsp 1272 1279
gr24.tsp 1272 1366
gr24.tsp 1272 1272
gr24.tsp 1272 1285
gr24.tsp 1272 1502
gr24.tsp 1272 1324
gr24.tsp 1272 1272
gr24.tsp 1272 1365
gr24.tsp 1272 1300
fri26.tsp 937 1001
fri26.tsp 937 1517
fri26.tsp 937 972
fri26.tsp 937 983
fri26.tsp 937 1066
fri26.tsp 937 1020
fri26.tsp 937 1016
fri26.tsp 937 966
fri26.tsp 937 999
fri26.tsp 937 969
fri26.tsp 937 960
fri26.tsp 937 1025
fri26.tsp 937 1518
fri26.tsp 937 955
fri26.tsp 937 1085
fri26.tsp 937 960
fri26.tsp 937 1265
fri26.tsp 937 1478
fri26.tsp 937 976
fri26.tsp 937 993
fri26.tsp 937 1008
fri26.tsp 937 1019
fri26.tsp 937 1010
fri26.tsp 937 937
fri26.tsp 937 999
fri26.tsp 937 1040
fri26.tsp 937 955
fri26.tsp 937 1002
fri26.tsp 937 1147
fri26.tsp 937 993
fri26.tsp 937 1007
fri26.tsp 937 1614
fri26.tsp 937 974
fri26.tsp 937 937
fri26.tsp 937 970
fri26.tsp 937 978
fri26.tsp 937 1037
fri26.tsp 937 976
fri26.tsp 937 986
fri26.tsp 937 1027
fri26.tsp 937 991
fri26.tsp 937 955
fri26.tsp 937 1042
fri26.tsp 937 959
fri26.tsp 937 961
fri26.tsp 937 1032
fri26.tsp 937 937
fri26.tsp 937 1018
fri26.tsp 937 1159
fri26.tsp 937 956
bayg29.tsp 1610 1741
bayg29.tsp 1610 1662
bayg29.tsp 1610 1747
bayg29.tsp 1610 1618
bayg29.tsp 1610 1742
bayg29.tsp 1610 1709
bayg29.tsp 1610 1669
bayg29.tsp 1610 1705
bayg29.tsp 1610 2303
bayg29.tsp 1610 1697
bayg29.tsp 1610 1908
bayg29.tsp 1610 1736
bayg29.tsp 1610 1643
bayg29.tsp 1610 1689
bayg29.tsp 1610 1665
bayg29.tsp 1610 1737
bayg29.tsp 1610 1713
bayg29.tsp 1610 1645
bayg29.tsp 1610 2262
bayg29.tsp 1610 1634
bayg29.tsp 1610 1654
bayg29.tsp 1610 1692
bayg29.tsp 1610 1704
bayg29.tsp 1610 1639
bayg29.tsp 1610 1847
bayg29.tsp 1610 1769
bayg29.tsp 1610 1672
bayg29.tsp 1610 1675
bayg29.tsp 1610 1713
bayg29.tsp 1610 1626
bayg29.tsp 1610 1637
bayg29.tsp 1610 1727
bayg29.tsp 1610 2359
bayg29.tsp 1610 1754
bayg29.tsp 1610 1631
bayg29.tsp 1610 1640
bayg29.tsp 1610 1701
bayg29.tsp 1610 1644
bayg29.tsp 1610 1664
